VehicleTypeId,Description,Year,Month,Count,Amount
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2014,6,24,670445
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2014,6,78,761871
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2014,6,4,68458
12,TRAILER UPTO 2 TON,2014,6,8,12855
15,TRAILER 8 TO 12 TON,2014,6,2,33000
16,TRAILER MORE THAN 12 TON,2014,6,5,112000
17,EXCAVATOR,2014,6,3,157100
18,CRANE,2014,6,1,25694
19,LOADER                                       ,2014,6,1,20393
21,TEMPO,2014,6,222,644215
1,MOPED/SCOOTER                                ,2014,7,4404,4311790
2,MOTOR CYCLE                                  ,2014,7,5665,6312002
3,AUTO RICKSHAW,2014,7,160,423475
4,PRIVATE MOTOR CAR/JEEP CAR,2014,7,1951,28846145
6,PUBLIC MOTOR CAR 7 TO 15 SEAT,2014,7,1,14690
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2014,7,7,234117
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2014,7,149,1374595
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2014,7,4,107754
14,TRAILER 4 TO 8 TON,2014,7,1,20096
21,TEMPO,2014,7,262,765054
1,MOPED/SCOOTER                                ,2014,8,4878,4807886
2,MOTOR CYCLE                                  ,2014,8,6126,7121903
3,AUTO RICKSHAW,2014,8,232,616764
4,PRIVATE MOTOR CAR/JEEP CAR,2014,8,1704,25140800
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2014,8,30,1156292
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2014,8,117,1041444
10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2014,8,1,26306
12,TRAILER UPTO 2 TON,2014,8,1,2300
17,EXCAVATOR,2014,8,1,50600
18,CRANE,2014,8,1,28700
21,TEMPO,2014,8,182,525941
1,MOPED/SCOOTER                                ,2014,9,5048,4973860
2,MOTOR CYCLE                                  ,2014,9,6760,7562353
3,AUTO RICKSHAW,2014,9,254,671850
4,PRIVATE MOTOR CAR/JEEP CAR,2014,9,1788,28206272
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2014,9,4,54845
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2014,9,169,1507036
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2014,9,3,67748
17,EXCAVATOR,2014,9,1,50600
18,CRANE,2014,9,1,28200
19,LOADER                                       ,2014,9,1,45300
21,TEMPO,2014,9,278,809210
1,MOPED/SCOOTER                                ,2014,10,4574,4504303
2,MOTOR CYCLE                                  ,2014,10,6147,6870153
3,AUTO RICKSHAW,2014,10,379,1011693
4,PRIVATE MOTOR CAR/JEEP CAR,2014,10,2579,45321011
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2014,10,3,93793
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2014,10,110,935265
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2014,10,4,154752
21,TEMPO,2014,10,189,551371
1,MOPED/SCOOTER                                ,2014,11,5443,5375165
2,MOTOR CYCLE                                  ,2014,11,8885,9839419
3,AUTO RICKSHAW,2014,11,278,748164
4,PRIVATE MOTOR CAR/JEEP CAR,2014,11,3104,46263969
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2014,11,3,52732
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2014,11,205,1901073
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2014,11,2,110754
13,TRAILER 2 TO 4 TON,2014,11,1,986
17,EXCAVATOR,2014,11,1,50600
19,LOADER                                       ,2014,11,3,125137
21,TEMPO,2014,11,256,738670
1,MOPED/SCOOTER                                ,2014,12,5508,5427349
2,MOTOR CYCLE                                  ,2014,12,8510,9495720
3,AUTO RICKSHAW,2014,12,244,659155
4,PRIVATE MOTOR CAR/JEEP CAR,2014,12,2111,34200128
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2014,12,6,477600
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2014,12,131,1149227
10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2014,12,5,107539
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2014,12,2,27462
19,LOADER                                       ,2014,12,1,50600
21,TEMPO,2014,12,217,625484
1,MOPED/SCOOTER                                ,2015,1,4302,4280210
2,MOTOR CYCLE                                  ,2015,1,5065,5905029
3,AUTO RICKSHAW,2015,1,174,470657
4,PRIVATE MOTOR CAR/JEEP CAR,2015,1,1963,34119449
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2015,1,19,898124
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2015,1,116,1069549
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2015,1,1,18352
21,TEMPO,2015,1,285,816258
1,MOPED/SCOOTER                                ,2015,2,4843,4918606
2,MOTOR CYCLE                                  ,2015,2,5640,6468178
3,AUTO RICKSHAW,2015,2,249,680817
4,PRIVATE MOTOR CAR/JEEP CAR,2015,2,2270,39799333
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2015,2,4,87696
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2015,2,154,1407860
10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2015,2,5,99121
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2015,2,4,137238
17,EXCAVATOR,2015,2,1,20440
18,CRANE,2015,2,1,56000
21,TEMPO,2015,2,208,583986
1,MOPED/SCOOTER                                ,2015,3,5039,5192857
2,MOTOR CYCLE                                  ,2015,3,5369,6607786
3,AUTO RICKSHAW,2015,3,201,552212
4,PRIVATE MOTOR CAR/JEEP CAR,2015,3,2062,34753378
5,PUBLIC MOTOR CAR 1 TO 6 SEAT,2015,3,1,8098
6,PUBLIC MOTOR CAR 7 TO 15 SEAT,2015,3,1,13231
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2015,3,6,179859
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2015,3,142,1361629
10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2015,3,2,53488
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2015,3,1,31498
19,LOADER                                       ,2015,3,2,109680
21,TEMPO,2015,3,211,628619
1,MOPED/SCOOTER                                ,2015,4,5437,5608599
2,MOTOR CYCLE                                  ,2015,4,5558,6929409
3,AUTO RICKSHAW,2015,4,156,434154
4,PRIVATE MOTOR CAR/JEEP CAR,2015,4,1812,29915209
5,PUBLIC MOTOR CAR 1 TO 6 SEAT,2015,4,6,39127
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2015,4,16,454972
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2015,4,150,1464539
9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,2015,4,2,37416
10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2015,4,5,111946
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2015,4,6,160136
16,TRAILER MORE THAN 12 TON,2015,4,1,61040
18,CRANE,2015,4,1,28400
19,LOADER                                       ,2015,4,2,103480
21,TEMPO,2015,4,221,652061
1,MOPED/SCOOTER                                ,2015,5,5350,5552496
2,MOTOR CYCLE                                  ,2015,5,4859,6043269
3,AUTO RICKSHAW,2015,5,145,401410
4,PRIVATE MOTOR CAR/JEEP CAR,2015,5,2215,35407801
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2015,5,27,961188
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2015,5,119,1259588
10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2015,5,2,47580
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2015,5,13,325343
16,TRAILER MORE THAN 12 TON,2015,5,1,50000
17,EXCAVATOR,2015,5,1,51900
18,CRANE,2015,5,1,29000
19,LOADER                                       ,2015,5,4,162025
21,TEMPO,2015,5,174,509029
1,MOPED/SCOOTER                                ,2015,6,4593,4762172
2,MOTOR CYCLE                                  ,2015,6,4719,6023923
3,AUTO RICKSHAW,2015,6,149,417049
4,PRIVATE MOTOR CAR/JEEP CAR,2015,6,2130,33716489
5,PUBLIC MOTOR CAR 1 TO 6 SEAT,2015,6,2,23877
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2015,6,54,1642847
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2015,6,127,1214648
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2015,6,8,248945
19,LOADER                                       ,2015,6,8,320900
21,TEMPO,2015,6,227,669379
1,MOPED/SCOOTER                                ,2015,7,5252,5459681
2,MOTOR CYCLE                                  ,2015,7,4820,5931033
3,AUTO RICKSHAW,2015,7,170,471882
4,PRIVATE MOTOR CAR/JEEP CAR,2015,7,1673,27575238
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2015,7,20,674769
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2015,7,131,1346992
10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2015,7,1,18538
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2015,7,9,170841
18,CRANE,2015,7,8,282550
21,TEMPO,2015,7,181,540268
1,MOPED/SCOOTER                                ,2015,8,5567,5796332
2,MOTOR CYCLE                                  ,2015,8,4630,6005896
3,AUTO RICKSHAW,2015,8,384,1074162
